date,product_id,quantity_sold
2023-01-01,SKU-1001,30
2023-01-02,SKU-1001,20
2023-01-03,SKU-1001,24
2023-01-04,SKU-1001,8
2023-01-05,SKU-1001,32
2023-01-06,SKU-1001,31
2023-01-07,SKU-1001,34
2023-01-08,SKU-1001,20
2023-01-09,SKU-1001,19
2023-01-10,SKU-1001,26
2023-01-11,SKU-1001,26
2023-01-12,SKU-1001,21
2023-01-13,SKU-1001,20
2023-01-14,SKU-1001,22
2023-01-15,SKU-1001,23
2023-01-16,SKU-1001,32
2023-01-17,SKU-1001,45
2023-01-18,SKU-1001,21
2023-01-19,SKU-1001,27
2023-01-20,SKU-1001,20
2023-01-21,SKU-1001,36
2023-01-22,SKU-1001,35
2023-01-23,SKU-1001,17
2023-01-24,SKU-1001,24
2023-01-25,SKU-1001,24
2023-01-26,SKU-1001,34
2023-01-27,SKU-1001,20
2023-01-28,SKU-1001,22
2023-01-29,SKU-1001,8
2023-01-30,SKU-1001,17
2023-01-31,SKU-1001,28
2023-02-01,SKU-1001,22
2023-02-02,SKU-1001,14
2023-02-03,SKU-1001,20
2023-02-04,SKU-1001,31
2023-02-05,SKU-1001,26
2023-02-06,SKU-1001,21
2023-02-07,SKU-1001,17
2023-02-08,SKU-1001,21
2023-02-09,SKU-1001,17
2023-02-10,SKU-1001,17
2023-02-11,SKU-1001,24
2023-02-12,SKU-1001,34
2023-02-13,SKU-1001,20
2023-02-14,SKU-1001,23
2023-02-15,SKU-1001,34
2023-02-16,SKU-1001,21
2023-02-17,SKU-1001,10
2023-02-18,SKU-1001,23
2023-02-19,SKU-1001,31
2023-02-20,SKU-1001,19
2023-02-21,SKU-1001,22
2023-02-22,SKU-1001,17
2023-02-23,SKU-1001,16
2023-02-24,SKU-1001,11
2023-02-25,SKU-1001,32
2023-02-26,SKU-1001,30
2023-02-27,SKU-1001,33
2023-02-28,SKU-1001,39
2023-03-01,SKU-1001,27
2023-03-02,SKU-1001,11
2023-03-03,SKU-1001,19
2023-03-04,SKU-1001,18
2023-03-05,SKU-1001,38
2023-03-06,SKU-1001,25
2023-03-07,SKU-1001,23
2023-03-08,SKU-1001,22
2023-03-09,SKU-1001,26
2023-03-10,SKU-1001,23
2023-03-11,SKU-1001,29
2023-03-12,SKU-1001,25
2023-03-13,SKU-1001,14
2023-03-14,SKU-1001,23
2023-03-15,SKU-1001,24
2023-03-16,SKU-1001,27
2023-03-17,SKU-1001,26
2023-03-18,SKU-1001,32
2023-03-19,SKU-1001,29
2023-03-20,SKU-1001,14
2023-03-21,SKU-1001,18
2023-03-22,SKU-1001,31
2023-03-23,SKU-1001,30
2023-03-24,SKU-1001,16
2023-03-25,SKU-1001,24
2023-03-26,SKU-1001,39
2023-03-27,SKU-1001,31
2023-03-28,SKU-1001,21
2023-03-29,SKU-1001,17
2023-03-30,SKU-1001,20
2023-03-31,SKU-1001,20
2023-04-01,SKU-1001,28
2023-04-02,SKU-1001,37
2023-04-03,SKU-1001,17
2023-04-04,SKU-1001,12
2023-04-05,SKU-1001,36
2023-04-06,SKU-1001,21
2023-04-07,SKU-1001,19
2023-04-08,SKU-1001,33
2023-04-09,SKU-1001,14
2023-04-10,SKU-1001,25
2023-04-11,SKU-1001,21
2023-04-12,SKU-1001,15
2023-04-13,SKU-1001,8
2023-04-14,SKU-1001,17
2023-04-15,SKU-1001,27
2023-04-16,SKU-1001,28
2023-04-17,SKU-1001,25
2023-04-18,SKU-1001,21
2023-04-19,SKU-1001,26
2023-04-20,SKU-1001,23
2023-04-21,SKU-1001,12
2023-04-22,SKU-1001,26
2023-04-23,SKU-1001,24
2023-04-24,SKU-1001,19
2023-04-25,SKU-1001,15
2023-04-26,SKU-1001,23
2023-04-27,SKU-1001,28
2023-04-28,SKU-1001,23
2023-04-29,SKU-1001,34
2023-04-30,SKU-1001,30
2023-05-01,SKU-1001,28
2023-05-02,SKU-1001,25
2023-05-03,SKU-1001,16
2023-05-04,SKU-1001,41
2023-05-05,SKU-1001,33
2023-05-06,SKU-1001,37
2023-05-07,SKU-1001,28
2023-05-08,SKU-1001,26
2023-05-09,SKU-1001,24
2023-05-10,SKU-1001,28
2023-05-11,SKU-1001,17
2023-05-12,SKU-1001,28
2023-05-13,SKU-1001,32
2023-05-14,SKU-1001,23
2023-05-15,SKU-1001,19
2023-05-16,SKU-1001,31
2023-05-17,SKU-1001,19
2023-05-18,SKU-1001,22
2023-05-19,SKU-1001,10
2023-05-20,SKU-1001,37
2023-05-21,SKU-1001,21
2023-05-22,SKU-1001,23
2023-05-23,SKU-1001,13
2023-05-24,SKU-1001,10
2023-05-25,SKU-1001,33
2023-05-26,SKU-1001,25
2023-05-27,SKU-1001,28
2023-05-28,SKU-1001,36
2023-05-29,SKU-1001,25
2023-05-30,SKU-1001,17
2023-05-31,SKU-1001,22
2023-06-01,SKU-1001,30
2023-06-02,SKU-1001,20
2023-06-03,SKU-1001,23
2023-06-04,SKU-1001,34
2023-06-05,SKU-1001,14
2023-06-06,SKU-1001,11
2023-06-07,SKU-1001,10
2023-06-08,SKU-1001,31
2023-06-09,SKU-1001,24
2023-06-10,SKU-1001,25
2023-06-11,SKU-1001,43
2023-06-12,SKU-1001,22
2023-06-13,SKU-1001,21
2023-06-14,SKU-1001,40
2023-06-15,SKU-1001,27
2023-06-16,SKU-1001,26
2023-06-17,SKU-1001,37
2023-06-18,SKU-1001,26
2023-06-19,SKU-1001,38
2023-06-20,SKU-1001,21
2023-06-21,SKU-1001,13
2023-06-22,SKU-1001,21
2023-06-23,SKU-1001,26
2023-06-24,SKU-1001,39
2023-06-25,SKU-1001,40
2023-06-26,SKU-1001,6
2023-06-27,SKU-1001,30
2023-06-28,SKU-1001,40
2023-06-29,SKU-1001,36
2023-06-30,SKU-1001,30
2023-07-01,SKU-1001,42
2023-07-02,SKU-1001,27
2023-07-03,SKU-1001,25
2023-07-04,SKU-1001,25
2023-07-05,SKU-1001,18
2023-07-06,SKU-1001,19
2023-07-07,SKU-1001,39
2023-07-08,SKU-1001,43
2023-07-09,SKU-1001,26
2023-07-10,SKU-1001,21
2023-07-11,SKU-1001,23
2023-07-12,SKU-1001,10
2023-07-13,SKU-1001,22
2023-07-14,SKU-1001,31
2023-07-15,SKU-1001,61
2023-07-16,SKU-1001,33
2023-07-17,SKU-1001,27
2023-07-18,SKU-1001,16
2023-07-19,SKU-1001,22
2023-07-20,SKU-1001,25
2023-07-21,SKU-1001,30
2023-07-22,SKU-1001,12
2023-07-23,SKU-1001,38
2023-07-24,SKU-1001,25
2023-07-25,SKU-1001,37
2023-07-26,SKU-1001,29
2023-07-27,SKU-1001,16
2023-07-28,SKU-1001,28
2023-07-29,SKU-1001,34
2023-07-30,SKU-1001,17
2023-07-31,SKU-1001,27
2023-08-01,SKU-1001,16
2023-08-02,SKU-1001,36
2023-08-03,SKU-1001,28
2023-08-04,SKU-1001,15
2023-08-05,SKU-1001,31
2023-08-06,SKU-1001,46
2023-08-07,SKU-1001,22
2023-08-08,SKU-1001,18
2023-08-09,SKU-1001,26
2023-08-10,SKU-1001,32
2023-08-11,SKU-1001,22
2023-08-12,SKU-1001,32
2023-08-13,SKU-1001,31
2023-08-14,SKU-1001,24
2023-08-15,SKU-1001,30
2023-08-16,SKU-1001,31
2023-08-17,SKU-1001,13
2023-08-18,SKU-1001,26
2023-08-19,SKU-1001,11
2023-08-20,SKU-1001,36
2023-08-21,SKU-1001,25
2023-08-22,SKU-1001,20
2023-08-23,SKU-1001,16
2023-08-24,SKU-1001,28
2023-08-25,SKU-1001,32
2023-08-26,SKU-1001,24
2023-08-27,SKU-1001,33
2023-08-28,SKU-1001,33
